#支付宝账务汇总查询
#账号：[20887010205926220156]
#起始日期：[2019年08月28日 00:00:00]   终止日期：[2019年08月29日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
其它	,4	,7462.26	,0	,0.00	,7462.26	
在线支付	,17	,216123.06	,0	,0.00	,216123.06	
提现	,0	,0.00	,1	,-880000.00	,-880000.00	
合计	,21	,223585.32	,1	,-880000.00	,-656414.68	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2019年08月29日 09:46:26]
